instance,run_idx,seed,variant,stage,cost,routes,feasible,time_s
customers_20_vrptw_hetero_tw,6,48,NN,improved,6447.975350904604,6,True,0.020539045333862305
customers_20_vrptw_hetero_tw,6,48,CW,initial,6592.684395500557,7,True,0.0005769729614257812
customers_20_vrptw_hetero_tw,6,48,CW,improved,5952.195874310106,6,True,0.024359941482543945
customers_20_vrptw_hetero_tw,6,48,Dual,final,5952.195874310106,6,True,0.04584169387817383
customers_20_vrptw_hetero_tw,7,49,NN,initial,8709.77269596401,9,True,0.0004715919494628906
customers_20_vrptw_hetero_tw,7,49,NN,improved,6342.705828036173,6,True,0.014827966690063477
customers_20_vrptw_hetero_tw,7,49,CW,initial,6430.688634795431,7,True,0.0005688667297363281
customers_20_vrptw_hetero_tw,7,49,CW,improved,5952.195874310106,6,True,0.013971805572509766
customers_20_vrptw_hetero_tw,7,49,Dual,final,5952.195874310106,6,True,0.02979898452758789
customers_20_vrptw_hetero_tw,8,50,NN,initial,8033.004080563625,8,True,0.0004930496215820312
customers_20_vrptw_hetero_tw,8,50,NN,improved,6493.8094052227625,6,True,0.011945962905883789
customers_20_vrptw_hetero_tw,8,50,CW,initial,6592.684395500557,7,True,0.000579833984375
customers_20_vrptw_hetero_tw,8,50,CW,improved,5952.195874310106,6,True,0.024215221405029297
customers_20_vrptw_hetero_tw,8,50,Dual,final,5952.195874310106,6,True,0.03694891929626465
customers_20_vrptw_hetero_tw,9,51,NN,initial,9947.254030531276,9,True,0.0004930496215820312
customers_20_vrptw_hetero_tw,9,51,NN,improved,6393.244873773032,6,True,0.061956167221069336
customers_20_vrptw_hetero_tw,9,51,CW,initial,6430.688634795431,7,True,0.0005939006805419922
customers_20_vrptw_hetero_tw,9,51,CW,improved,5952.195874310106,6,True,0.014042854309082031
customers_20_vrptw_hetero_tw,9,51,Dual,final,5952.195874310106,6,True,0.08038592338562012
