instance,run_idx,seed,variant,stage,cost,routes,feasible,time_s
customers_10_vrptw,0,42,NN,initial,3787.4632644755484,3,True,0.00022101402282714844
customers_10_vrptw,0,42,NN,improved,3677.929808518156,3,True,0.0012178421020507812
customers_10_vrptw,0,42,CW,initial,3717.7223582509987,4,True,0.00021505355834960938
customers_10_vrptw,0,42,CW,improved,3675.6789945070577,4,True,0.0012290477752685547
customers_10_vrptw,0,42,Dual,final,3675.6789945070577,4,True,0.0031871795654296875
customers_10_vrptw,1,43,NN,initial,4762.20031086796,4,True,0.00017309188842773438
customers_10_vrptw,1,43,NN,improved,4401.998802831132,4,True,0.002552032470703125
customers_10_vrptw,1,43,CW,initial,3717.7223582509987,4,True,0.00018930435180664062
customers_10_vrptw,1,43,CW,improved,3675.6789945070577,4,True,0.00121307373046875
customers_10_vrptw,1,43,Dual,final,3675.6789945070577,4,True,0.004172801971435547
customers_10_vrptw,2,44,NN,initial,4762.02502667374,4,True,0.00016427040100097656
customers_10_vrptw,2,44,NN,improved,3823.089353987201,3,True,0.0022029876708984375
customers_10_vrptw,2,44,CW,initial,4133.309812824125,4,True,0.0001811981201171875
customers_10_vrptw,2,44,CW,improved,3675.678994507058,4,True,0.0019268989562988281
customers_10_vrptw,2,44,Dual,final,3675.678994507058,4,True,0.004474163055419922
customers_10_vrptw,3,45,NN,initial,4687.170146677835,4,True,0.00015997886657714844
customers_10_vrptw,3,45,NN,improved,3888.2043342533075,3,True,0.001268148422241211
customers_10_vrptw,3,45,CW,initial,4138.003241361522,4,True,0.00018930435180664062
customers_10_vrptw,3,45,CW,improved,3675.678994507058,4,True,0.0025548934936523438
customers_10_vrptw,3,45,Dual,final,3675.678994507058,4,True,0.004039764404296875
customers_10_vrptw,4,46,NN,initial,4581.72943670937,4,True,0.0001621246337890625
customers_10_vrptw,4,46,NN,improved,3675.678994507058,4,True,0.0032019615173339844
customers_10_vrptw,4,46,CW,initial,3717.7223582509987,4,True,0.00018477439880371094
customers_10_vrptw,4,46,CW,improved,3675.6789945070577,4,True,0.0012180805206298828
