instance,method,n_runs,feasible_rate,cost_mean,cost_std,cost_min,cost_max,routes_mean,time_mean_s,time_std_s
customers_10_vrptw_hetero_tw,CW_improved,5,100.0,3756.7704661909775,74.02604710429017,3675.678994507058,3810.8314473135906,4.0,0.00148625373840328,0.0005765016311385634
customers_10_vrptw_hetero_tw,CW_initial,5,100.0,3968.253485234535,152.82637933322468,3856.6514573290096,4138.003241361522,4.0,0.00020065307617182,2.164992986690573e-05
customers_10_vrptw_hetero_tw,Dual_final,5,100.0,3756.7704661909775,74.02604710429017,3675.678994507058,3810.8314473135906,4.0,0.00564980506896968,0.002033253247435404
customers_10_vrptw_hetero_tw,NN_improved,5,100.0,4420.507354816093,704.4661343035242,3675.678994507058,5509.7889300952575,4.0,0.0037065982818603,0.001810581179327707
customers_10_vrptw_hetero_tw,NN_initial,5,100.0,5360.659894102669,355.8659821294337,4779.608231898826,5693.325668617151,5.2,0.0001977920532226,2.856230695873985e-05
customers_20_vrptw_hetero_tw,CW_improved,10,100.0,5972.283266313066,63.521910982004044,5952.195874310106,6153.069794339701,6.0,0.0180404901504516,0.005541258008202706
customers_20_vrptw_hetero_tw,CW_initial,10,100.0,6515.5721566352295,90.22193597559618,6430.688634795431,6631.540810372912,7.0,0.00058279037475582,1.0180718381505198e-05
customers_20_vrptw_hetero_tw,Dual_final,10,100.0,5972.283266313066,63.521910982004044,5952.195874310106,6153.069794339701,6.0,0.04394767284393306,0.017635450143369074
customers_20_vrptw_hetero_tw,NN_improved,10,100.0,7140.615069620852,877.9075431144064,6144.295792934903,8333.4871855563,6.5,0.02502474784851067,0.018918034452296555
customers_20_vrptw_hetero_tw,NN_initial,10,100.0,9035.202789071689,837.4311936501585,7893.012991870704,9987.614680257704,8.7,0.00050432682037347,4.783593491701242e-05
