instance,method,n_runs,feasible_rate,cost_mean,cost_std,cost_min,cost_max,routes_mean,time_mean_s,time_std_s
customers_10_vrptw_hetero_tw,CW_improved,5,100.0,3756.7704661909775,74.02604710429017,3675.678994507058,3810.8314473135906,4.0,0.0014786243438720402,0.0005675303357071433
customers_10_vrptw_hetero_tw,CW_initial,5,100.0,3968.253485234535,152.82637933322468,3856.6514573290096,4138.003241361522,4.0,0.00019659996032708,2.0865780552862753e-05
customers_10_vrptw_hetero_tw,Dual_final,5,100.0,3756.7704661909775,74.02604710429017,3675.678994507058,3810.8314473135906,4.0,0.00409946441650388,0.0015899865087670544
customers_10_vrptw_hetero_tw,NN_improved,5,100.0,4365.743352813009,722.1587813992596,3675.678994507058,5509.7889300952575,4.0,0.00219583511352532,0.0010425941692275783
customers_10_vrptw_hetero_tw,NN_initial,5,100.0,5200.38647859093,495.15499322398193,4458.456953510924,5693.325668617151,5.4,0.00019917488098142,3.0923082723128994e-05
customers_20_vrptw_hetero_tw,CW_improved,10,100.0,5972.283266313066,63.521910982004044,5952.195874310106,6153.069794339701,6.0,0.01803319454193111,0.005498871601814312
customers_20_vrptw_hetero_tw,CW_initial,10,100.0,6515.5721566352295,90.22193597559618,6430.688634795431,6631.540810372912,7.0,0.00058541297912592,1.7793474578012817e-05
customers_20_vrptw_hetero_tw,Dual_final,10,100.0,5970.43935360186,64.43091717320566,5933.756747198045,6153.069794339701,6.0,0.04567470550537105,0.01661792504942012
customers_20_vrptw_hetero_tw,NN_improved,10,100.0,6383.411153466881,279.8535258548073,5933.756747198045,7043.469160310937,6.1,0.02630302906036372,0.017708628117932456
customers_20_vrptw_hetero_tw,NN_initial,10,100.0,8615.37733980385,934.3778166915628,7093.296411088299,9947.254030531276,8.3,0.0005063295364379501,5.0984679505002516e-05
