instance,method,n_runs,feasible_rate,cost_mean,cost_std,cost_min,cost_max,routes_mean,time_mean_s,time_std_s
customers_10_vrptw,CW_improved,5,100.0,3675.678994507058,3.2155493553843715e-13,3675.6789945070577,3675.678994507058,4.0,0.0016584396362304197,0.0005979477836072167
customers_10_vrptw,CW_initial,5,100.0,3884.8960257877284,228.91798614259577,3717.7223582509982,4138.003241361522,4.0,0.00019617080688470002,1.8066717460095745e-05
customers_10_vrptw,Dual_final,5,100.0,3675.678994507058,3.2155493553843715e-13,3675.6789945070577,3675.678994507058,4.0,0.00414552688598628,0.0007185382345486516
customers_10_vrptw,NN_improved,5,100.0,3893.3802588193707,298.9452967634958,3675.678994507058,4401.998802831132,3.4,0.00225267410278316,0.0010884300186340947
customers_10_vrptw,NN_initial,5,100.0,4516.117637080892,413.9831489932129,3787.463264475549,4762.20031086796,3.8,0.00019125938415524,2.428735321525379e-05
customers_20_vrptw,CW_improved,10,100.0,5920.925797544482,24.325212930828517,5906.809325137768,5988.0497559954065,6.0,0.02057380676269526,0.002595806484070641
customers_20_vrptw,CW_initial,10,100.0,6450.761504571079,75.96609329325275,6387.792569273788,6549.788329978914,7.0,0.00060281753540034,6.787821563704972e-05
customers_20_vrptw,Dual_final,10,100.0,5913.919827338893,6.124635720213799,5906.809325137768,5918.794183779669,6.0,0.05259914398193356,0.014777127754065408
customers_20_vrptw,NN_improved,10,100.0,6456.859265607778,668.3140803414256,5906.8093251377695,7939.685624345339,6.0,0.03110468387603756,0.014115504458740201
customers_20_vrptw,NN_initial,10,100.0,8613.7923727355,565.40119494329,7856.859111349121,9592.661839674603,7.2,0.00048372745513911003,1.6675462738342665e-05
