Algorithm,Total_Cost,Routes,Time,Feasible
Nearest Neighbor,4170.05630868129,4,0.00011587142944335938,True
Clarke-Wright,3717.7223582509987,4,0.0001800060272216797,True
Feasible Dual-Pipeline,3675.6789945070577,4,0.003376007080078125,True
